name,web address,description,documentation,endpoints,access mechanisms (protocols and standardised access),serialization formats,common identifiers used for the entities,access and rate limitations,legal rights,scope,taxonomies,TDM,software implementation,legal body,Github/Gitlab,accronim,Namespaces,type,metadata schemas,bulk download
HathiTrust Digital Library,https://www.hathitrust.org/data,"The HathiTrust collection is composed of works from over 50 different libraries  located in the United States and around the world. Bibliographic records represent many different cataloging practices and may even be in different languages.
You can use the HathiTrust APIs to query and retrieve data when you have a known identifier. HathiTrust APIs are not search APIs (e.g., where you use a keyword to search across the collection). You can use the Bibliographic API to do real-time querying against the HathiTrust collection and to retrieve a limited number of bibliographic records. Using a variety of common identifiers (e.g., ISBN, LCCN, OCLC, etc.) as well as HathiTrust identifiers, you can retrieve information about any works associated with those identifiers. The API can provide you with brief or full bibliographic records. The Data API allows you to retrieve page images, OCR text for individual pages, and METS metadata. To retrieve the OCR for more than a few volumes, we recommend that you request a dataset. Restrictions apply.","https://www.hathitrust.org/member-libraries/resources-for-librarians/data-resources/bibliographic-api/,https://www.hathitrust.org/member-libraries/resources-for-librarians/data-resources/oai-feed/,https://www.hathitrust.org/member-libraries/resources-for-librarians/data-resources/research-datasets/",https://catalog.hathitrust.org/api,"HTTP,OAI-PMH","XML, JSON, JSONP","htid,oclc,lccn,issn,isbn,recordnumber","https://www.hathitrust.org/acceptable-use,https://www.hathitrust.org/member-libraries/resources-for-librarians/data-resources/research-datasets/",https://www.hathitrust.org/copyright,,,https://analytics.hathitrust.org/,,,,,,,marc21,https://www.hathitrust.org/member-libraries/resources-for-librarians/data-resources/hathifiles/
IEEE Xplore API,https://developer.ieee.org/getting_started,"Query and retrieve metadata records including abstracts for more than 5 million documents in IEEE Xplore® including Journals, Conference Proceedings, Books, Courses and Standards. The Metadata API supports both simple and Boolean searches.",https://developer.ieee.org/docs,http://ieeexploreapi.ieee.org/api/v1/,HTTP,"XML, JSON","doi,issn,isbn","10	Calls per second
200	Calls per day",https://developer.ieee.org/API_Terms_of_Use2,mixed,,TDM is permitted for non-commercial research purposes only and requires an active IEEE Xplore institutional subscription.,,IEEE,,,,,,
Internet Archive Developer Portal,https://archive.org/developers/index.html,"This portal contains information to help you access data from, integrate with, or contribute to the Internet Archive.","https://archive.org/developers/index-apis.html,https://archive.org/developers/ias3.html,https://archive.org/developers/metadata.html,https://archive.org/developers/internetarchive/cli.html,https://archive.org/developers/internetarchive/cli.html#metadata,https://programminghistorian.org/en/lessons/data-mining-the-internet-archive",https://archive.org/developers/internetarchive/cli.html#search,"HTTP,SOAP","XML, JSON","ark,isbn,issn,lccn,oclc",https://archive.org/developers/ias3.html#use-limits,https://archive.org/about/terms.php,mixed,,,,,"https://github.com/jjjake/internetarchive,https://github.com/john-corcoran/internetarchive-downloader",,,,marc,https://github.com/john-corcoran/internetarchive-downloader
The Lens,https://docs.api.lens.org/index.html,"With over 20 years of development, supported by prominent philanthropic organizations, The Lens ingests, cleans, aggregates, normalizes and serves over 225+ million scholarly works, 127+ million global patent records, and more than 370+ million patent sequences, with rich metadata including the people and institutions that generate this knowledge and the linkages between them, drawn from diverse data sources.",https://docs.api.lens.org/index.html,https://api.lens.org/swagger-ui.html,"HTTP, Swagger",JSON,"doi,pmid,pmcid,magid,coreid,openalex",,https://about.lens.org/lens-api-terms-of-use/,mixed,,,,,https://github.com/cambialens/lens-api-doc,,,Agregator,,https://support.lens.org/knowledge-base/bulk-data-downloads/
JSON/YAML for LoC.gov,https://loc.gov/apis,"The Library of Congress makes three different loc.gov APIs available to the public:
JSON/YAML for loc.gov: The loc.gov API provides structured data about Library of Congress collections. The API was originally designed to power the loc.gov website, but in addition to providing HTML for the website it can provide a wealth of information in JSON format. The loc.gov API provides structured data about Library of Congress collections in the JSON and YAML formats. Software programs routinely access the JSON API to keep the loc.gov website updated as new digital content is added to the Library's collections.",https://www.loc.gov/apis/json-and-yaml/,,HTTP,"JSON, YAML",,https://www.loc.gov/apis/json-and-yaml/working-within-limits,https://www.loc.gov/legal/,CHO (Cultural Heritage Organizations),,,,Library of Congress,,,dc,,"marc,mods","https://www.loc.gov/collections/selected-datasets/about-this-collection/,https://www.loc.gov/collections/selected-datasets/"
Chronicling America,https://chroniclingamerica.loc.gov/about/api/,"Search America's historic newspaper pages from 1777-1963 or use the U.S. Newspaper Directory to find information about American newspapers published between 1690-present. Chronicling America is sponsored jointly by the National Endowment for the Humanities and the Library of Congress. Together they make up an extensive application programming interface (API) which you can use to explore all of our data in many ways. The directory of newspaper titles contains nearly 140,000 records of newspapers and libraries that hold copies of these newspapers. The title records are based on MARC data gathered and enhanced as part of the NDNP program.",https://chroniclingamerica.loc.gov/about/api/,,HTTP,"JSON, JSONP, RDF",lccn,,https://www.loc.gov/legal/,CHO (Cultural Heritage Organizations),,,,,"https://github.com/LibraryofCongress/chronam,https://github.com/LibraryOfCongress/data-exploration",,"dc, dcterms, ore, owl",,,"https://chroniclingamerica.loc.gov/data/batches/,https://chroniclingamerica.loc.gov/ocr/"
The New York Times Developer Network,https://developer.nytimes.com/apis,"Our APIs (Application Programming Interfaces) allow you to programmatically access New York Times data for use in your own applications. Our goal is to facilitate a wide range of uses, from custom link lists to complex visualizations. Why just read the news when you can hack it? NYT currently has ten public APIs: Archive, Article Search, Books, Most Popular, Semantic, Times Newswire, TimesTags, and Top Stories.",https://developer.nytimes.com/apis,"https://api.nytimes.com/svc/search/v2/,https://api.nytimes.com/svc/books/v3/",HTTP,JSON,"url,usbn13,uuid","4,000 requests per day and 10 requests per minute. You should sleep 6 seconds between calls to avoid hitting the per minute rate limit.",https://developer.nytimes.com/terms,mixed,,https://nytlicensing.com/data-solutions/,,The New York Times,,,,,,
OECD data for developers,https://data.oecd.org/api/,"The OECD has application programming interfaces (APIs) that provide access to datasets in the catalogue of OECD databases. The APIs allow you to query the data in several ways, using parameters to specify your request so that you can create innovative software applications which use OECD datasets. The APIs are available in JSON and XML formats.","https://data.oecd.org/api/sdmx-json-documentation/,https://github.com/sdmx-twg/sdmx-rest/blob/v2.0.0/doc/data.md","http://stats.oecd.org/SDMX-JSON/data/,https://sdmx.oecd.org/public/rest/v2/data/dataflow/",HTTP,"XML, JSON,CSV","id,doi",,https://www.oecd.org/termsandconditions/,,,,,,,,,,"SDMX-ML,SDMX-JSON",
Open Researcher and Contributor ID,https://info.orcid.org/documentation/features/public-api/,"ORCID offers a public API that allows organizations that are not ORCID members to connect their systems and applications to the ORCID registry with machine-to-machine communications. The API is a restful API and supports both XML and JSON.
Member organizations can use the member API to request and obtain permission to read trusted data on their researchers ORCID records. The organization can ask researchers to grant them specific permission to read limited-access information at the same time that they request permission to collect ORCID iD’s. Once the researcher has granted permission, the trusted organization will be able to use the member API to read the ORCID record and read information that the researcher has set as visible to trusted parties in addition to the information set as visible to everyone.","https://github.com/ORCID/ORCID-Source/tree/development/orcid-api-web/tutorial,https://github.com/ORCID/ORCID-Source/tree/main/orcid-api-web#endpoints,https://github.com/ORCID/orcid-model/blob/master/src/main/resources/record_3.0/README.md",https://api.sandbox.orcid.org/v3.0,HTTP,"XML, JSON, CSV",orcid,https://github.com/ORCID/ORCID-Source/tree/development/orcid-api-web#api-limits,https://info.orcid.org/terms-of-use/,mixed,,,,,https://github.com/ORCID/ORCID-Source/tree/development/orcid-api-web/tutorial,ORCID,,,,
Joint Research Centre Data Catalogue,https://data.jrc.ec.europa.eu/,"The Joint Research Centre (JRC) is the European Commission's in-house science service which employs scientists to carry out research in order to provide independent scientific advice and support to policies of the European Union.
A dedicated JRC Data Policy was prepared to complement the JRC Policy on Open Access to Scientific Publications and Supporting Guidance, and to promote open access to research data in the context of Horizon 2020. One way to access the data is to use the REST API. Most of the portal core functionalities are available through the application programming interface (API), which encompasses most of what you can do with the web interface. The information retrieved can then be used by an external code to transform, update or reference and provide new input for further calls to the API.","https://data.jrc.ec.europa.eu/about#services,https://data.jrc.ec.europa.eu/docs/index.html",https://data.jrc.ec.europa.eu/docs/index.html,"HTTP, Swagger","XML,JSON",id,,https://data.jrc.ec.europa.eu/about,mixed,,,CKAN,Joint Research Centre of the European Commission,,,"dc,foaf,og,vcard,owl",Agregator,"DCAT-AP,RDF",
data.europa.eu - The official portal for European data,https://data.europa.eu/api/hub/search/,"The portal is a central point of access to European open data from international, European Union, national, regional, local and geodata portals. It consolidates the former EU Open Data Portal and the European Data Portal. The metadata catalogue of datasets can be explored through a search engine (data tab), through a map for geospatial data or through a SPARQL endpoint and API endpoint. The 'data providers' (EU institutions, agencies and EU bodies, Member States, and other European countries) are autonomous in publishing their metadata (which gives you access to their data) in data.europa.eu. The portal also publishes datasets of other European countries and organisations beyond the EU. The portal is updated when new datasets and content are available.",,,"HTTP, OAI-PMH, SPARQL","JSON, JSON-LD",,,"The choice of a license should be discussed with the data provider. Following the EC decision from 2019, Directorates-General should try to publish their reusable content under CC BY, but for publications ordered before 2019 things are not as clear. In any case it's their decision.",mixed,,,CKAN,Publications Office of the European Union,https://gitlab.com/european-data-portal,,,Agregator,,
Elsevier Research Products APIs,https://dev.elsevier.com/,"Elsevier's RESTful APIs provide access to content from platforms like ScienceDirect, Scopus and Engineering Village for various use cases. These use cases are governed by the policies outlined on this page. These policies define how clients are allowed to use content retrieved through Elsevier's APIs.","https://dev.elsevier.com/interactive.html,https://dev.elsevier.com/api_docs.html,https://dev.elsevier.com/support.html","https://api.elsevier.com/content/search/sciencedirect,https://api.elsevier.com/content/search/scopus","HTTP, Swagger","XML, JSON","doi,pii,eid",https://dev.elsevier.com/api_service_agreement.html,https://www.elsevier.com/legal/elsevier-website-terms-and-conditions,"Natural sciences (chemistry, earth sciences, physics, cosmology, biology, paleontology), Social sciences (economy, sociology, psychology, political science, law), Humanities (linguistics, philology, art, literature, history), Applied science (medical science, informatics, space)",,https://dev.elsevier.com/tdm_service.html,,,https://github.com/ElsevierDev,,"prism,dc",,,
F1000Research ,https://f1000research.com/developers,"This API allows anyone to download the XML and PDF of specific articles as well as to download links to the XML of the entire corpus of articles. The content is indexed using Apache Solr, which is open-source software that allows simple queries to be built in order to search and retrieve the content required. Each article is assigned a unique DOI that can be resolved at doi.org. An example of a DOI for an F1000Research article is 10.12688/f1000research.13256.2. Solr queries will return the DOIs of articles that match the search. See below for details of how to build a Solr query, and the parameters and terms that you can use to refine your search.",https://f1000research.com/developers,,HTTP,XML,"doi,issn,orcid","Limitations on requests
Frequency of requests Please note, user can only make 100 requests per 60 seconds; if the requests exceed this, an unauthorized status 401 will be returned.
Number of results per request. There is a limit of 100 results per request.",© 2012-2023 F1000 Research Ltd.,mixed,,,,,,,,Agregator,,
Clarivate Developer Portal,https://developer.clarivate.com/,"The Web of Science™ Journals API provides REST-based programmatic access to the Journal Citation Reports™, with JSON output format and advanced search and filter capabilities. Journal Citation Reports is the only journal report of its kind that is both complete and editorially selective; it contains all the data required to understand the components that index the value and impact of each journal.The structured data are curated by a global team of experts who continuously evaluate and select the collections of journals, books, and conference proceedings covered in the Web of Science Core Collection to ensure accuracy in evaluating journal impact. These expert insights enable you to explore the key drivers of a journal's value, making better use of the vast body of data and metrics available in the Journal Citation Reports, including the Journal Impact Factor (JIF) and other ranking analysis.","https://developer.clarivate.com/apis,https://webofscience.help.clarivate.com/en-us/Content/home.htm,https://api.clarivate.com/swagger-ui/?url=https%3A%2F%2Fdeveloper.clarivate.com%2Fapis%2Fwos-starter%2Fswagger,https://clarivate.libguides.com/home","https://wos-api.clarivate.com/api/woslite,https://api.clarivate.com/apis/wos-starter/v1","HTTP, Swagger","XML, JSON","uid,doi,issn,isbn,pubmedid",https://developer.clarivate.com/content/api-usage/view,https://clarivate.com/legal-center/terms-of-business/,mixed,,,,,https://github.com/clarivate/wosjournals-javascript-client,,,Metacatalog,,
Wiley Online Library,https://olabout.wiley.com/WileyCDA/Section/id-829771.html,"Wiley is keen to encourage innovative uses of the content we publish, and supports customers who wish to perform text and data mining (TDM) on Wiley content. We are committed to developing tools and services that will enable subscribers to carry out TDM in the most efficient and effective manner, as well as to providing straightforward access to content for TDM purposes.
Academic subscribers can perform TDM under license (or in accordance with statutory rights in the UK) on subscribed content for non-commercial purposes at no extra cost.
Corporate subscribers should contact their account manager to discuss options available for content access and delivery.
In order to maximize platform stability and security for all users, we ask that access to content for TDM purposes takes place through an approved API service, rather than through crawling Wiley Online Library. Our preferred access solution for TDM is the Crossref Text and Data Mining Service. Academic subscribers can register with Crossref and will then be able to access subscribed content once they have accepted the Wiley click-through TDM license and received an API token.
Further details on the Crossref Text and Data Mining Service are available at http://tdmsupport.crossref.org/researchers/.",,https://api.wiley.com/onlinelibrary/tdm/v1,HTTP,"XML, JSON",doi,,https://olabout.wiley.com/WileyCDA/Section/id-826542.html,https://olabout.wiley.com/WileyCDA/Section/id-829771.html,,https://www.crossref.org/documentation/retrieve-metadata/rest-api/text-and-data-mining-for-researchers/,,Wiley,,,,,,
Crossref Unified Resource API,https://www.crossref.org/services/metadata-retrieval,The Crossref REST API is one of a variety of tools and APIs that allow anybody to search and reuse our members' metadata in sophisticated ways.,"https://api.crossref.org/swagger-ui/index.html,https://www.crossref.org/documentation/retrieve-metadata/xml-api/",https://api.crossref.org/works,"HTTP, OAI-PMH, Swagger","XML, JSON","doi,isbn,issn,orcid",50 requests a second,"https://www.crossref.org/documentation/metadata-plus/#00342
Service level agreement (SLA) Crossref will maintain an aggregated, average uptime for all of the interfaces that together comprise the Crossref Metadata Service of 99.5%, reported on a monthly basis. Crossref will provide technical support to Subscriber through Crossref’s existing support channels as requested by Subscriber, and will provide a response within one (1) business day to support requests received during normal working hours in the United States and the United Kingdom. “Business days” do not include weekends or legal holidays in the United States and the United Kingdom. “Response” means that support requests will be acknowledged. The time required for resolution will depend upon the nature of the request.
Agreement and fees for Metadata Plus Learn more about the Metadata Plus service agreement, and fees and pricing tiers for Metadata Plus.",mixed,,https://www.crossref.org/documentation/retrieve-metadata/rest-api/text-and-data-mining/,,Crossref,,,,Agregator,,
Data.Bibliotheken.nl,http://data.bibliotheken.nl/,"The KB's extensive digital collections make it possible to use software to analyse large quantities of text, structured data or images from several centuries, in search of historical patterns or breaks",https://www.kb.nl/onderzoeken-vinden/voor-onderzoekers/dataservices-apis-en-downloads,,"HTTP, SPARQL",,id,,CC0,CHO (Cultural Heritage Organizations),,,,Koninklijke Bibliotheek,,,"rdf,owl",Agregator,,
BnF API et jeux de données,https://api.bnf.fr/,"Le portail BnF API et jeux de données décrit et documente l'ensemble des API (Application Programming Interface, interface de programmation applicative) qui permettent d’interroger et de récupérer les métadonnées des catalogues et les collections numérisées de la BnF (notamment BnF catalogue général, data.bnf.fr, Gallica). Pour faciliter l’accès aux données et leur utilisation, des jeux de données (images et textes, métadonnées, statistiques) sont directement téléchargeables via le portail.(https://www.bnf.fr/fr/portail-bnf-api-et-jeux-de-donnees).","https://api.bnf.fr/fr/utiliser-les-api-de-gallica-lexemple-du-rapport-de-recherche,https://api.bnf.fr/api-gallica-de-recherche",,"OAI-PMH, SPARQL, SRU, IIIF","XML,JSON, JSON-LD, RDF","ark,uri",https://api.bnf.fr/fr/cgu,Licence ouverte de l’état - https://www.etalab.gouv.fr/licence-ouverte-open-licence/,CHO (Cultural Heritage Organizations),,,,Bibliothèque nationale de France,,,"dcterms, rdf, rdfs, skos, foaf, rdaGr2,srw,dc,onix","Metacatalog, Agregator",,
Open Data at the BnL,https://data.bnl.lu/apis/,"In addition to raw datasets, the National Library of Luxembourg offers various web services, Application Programming Interfaces (APIs) and other interfaces to access and query data from its systems. The BnL is the coordinator of the bibnet.lu national network of Luxembourgish libraries. The InfoBib API offers information about each library in the network: address and opening times, contact information, access conditions etc. The BnL exposes structured metadata in the collective catalogue of the bibnet.lu library network using the Open Archives Initiative Protocol for Metadata Harvesting (OAI-PMH). The OAI-PMH protocol is a means of exchanging metadata over the Internet between several institutions.",,,OAI-PMH,XML,,,https://data.bnl.lu/data/rights/,"CHO (Cultural Heritage Organizations), mixed",,,,Bibliothèque nationale du Luxembourg,https://github.com/natliblux,,"dc, dcterms",Metacatalog,,
German National Library catalogues,https://www.dnb.de/EN/oai,"In order to use OAI to compare data between the German National Library and a service provider, the service provider must have implemented an OAI harvester. The OAI harvester calls itself repeatedly in a continuous loop.",https://www.dnb.de/EN/oai,https://services.dnb.de/oai/repository,"OAI-PMH, SRU","XML, RDF",,"SRU:
Standard (default): 10 data records per response Maximum: 100 data records per reply if ...&maximumRecords=100 specified (possible values 1 to 100)
Call of further data records: ...&startRecord=101 (possible values 1 to 99,000)","All bibliographic data from the German National Library, the German Union Catalogue of Serials (ZDB), the metadata of the ISIL and library code list and the authority data from the Integrated Authority File (GND) is available free of charge for general re-use under Creative Commons Zero terms (CC0 1.0).
Most of the holding data in the German Union Catalogue of Serials (ZDB) is also free for general re-use under CC0 1.0. A corresponding tag is incorporated into the record itself.
The metadata and online interfaces are provided with no guarantee that they will be continuous, punctual, error-free or complete or that they do not violate third-party rights (e.g. personal rights and copyright).",CHO (Cultural Heritage Organizations),,,,Deutsche Nationalbibliothek,,,dcterms,Metacatalog,,
Data Catalog of the National Library of Finland,https://www.kiwi.fi/display/Datacatalog/APIs,"Access open data sources maintained by the National Library of Finland
http://data.nationallibrary.fi/","https://www.kiwi.fi/display/Datacatalog/APIs,https://api.finna.fi/swagger-ui/?url=%2Fapi%2Fv1%3Fswagger",https://www.doria.fi/open-search,"HTTP, OAI-PMH, SPARQL, Swagger, SRU","XML,JSON, JSON-LD, RDF",urn,,,CHO (Cultural Heritage Organizations),,,,National Library of Finland,,,,Metacatalog,,https://data.nationallibrary.fi/download/
